,Unnamed: 0,tweet
0,0,JorgeTrimy fabiochiusi Ai comizi possibile contestare ovviamente modo pacifico Negli Usa gi pi di un anno fa il tema finito tribunale https co P rHMKLq G 
1,1,FLOTUS Your sociopath husband cages children ConcentrationCamps thinks need soap toothbrushes toothpaste beds blankets food water medical treatment adult supervision They abused sick dying BeBest Shame Trump Melania https co g qTHqcU 
2,2,NEW GOOGLE INSIDER Google bent never letting somebody like Donald Trump come power Watch full video https co wEQlqHHUEt https co erjHoaU C 
3,3,ewarren saying break Google And like I love misguided smaller companies resources charged preventing next Trump situation like small company https co GflPP uHD 
4,4,Seemingly every day new report emerges corruption taints Trump presidency tainted beginning https co sveJ r cQj 
5,5,And Amb Haley ever signs ticket Trump would behoove vetting first There score women meet starting E Jean Carroll https co c UyT H iG 
6,6,Trump said placing new sanctions Iran Ayatollah Khomeini died https co eyvenzcuNs 
7,7,You bet bottom dollar Trump decides wage war Iran children die Neither Bolton Pompeo It children Your sons daughters IranWar https co um PG Y aO 
8,8,GOP If mean manufactured humanitarian crisis Trump use children babies human bargaining chips yes real CloseTheCamps CloseTheConcentrationCamps CloseTheCampsNOW TrumpCamps TrumpConcentrationCamps TrumpsAnInternationalDisgrace 
9,9,When whore boiling Hear shout lift Trump And pour Smelly 
10,10,Y stop Was tax payer funded bail regressive ThirdWayTweet Or Trump tax cuts benefits went wealthiest Americans How Walmart amp Amazon paying federal taxes Does increase inequality https co HEAgCOJhuC 
11,11,lhfang Team Obama derailing MedicareForAll Team Trump derailing MedicareForAll One Million Volunteers For Bernie Fighting For MedicareForAll Who gon na win CancelStudentDebt Bernie Will Deliver AFutureToBelieveIn 
12,12,The Trump Administration Plan Deport Victims Human Trafficking https co kETJSAfrJM 
13,13,According Conway presidential adviser investigated misconduct criminal conduct running successful presidential campaign That syncs Trump view everyone administration law https co TwBwK q Q 
14,14,This really scary think bias coming social media masters watch If act get worse Insider Blows Whistle amp Exec Reveals Google Plan Prevent Trump situation Hidden Cam https co ZXGzg jVl 
15,15,Among answers Trump could given Jean Carroll accusations kidding I would never Or rape abhorrent I disgusted someone could think I thing Let alone accuse Instead went type 
16,16,Trump buildTheWall Exclusive Mexico Officials Confirm USA Warned Them About Suspected ISIS Terrorists Headed Border https co C wSGBlL U via BreitbartTexas BlissTabitha anchteaparty christinakb RealCinders youlivethrice 
17,17,https co JB EUId 
18,18,This differ depravity Nazis If Trump could even worse innocent children It time imprison unsanitary conditions food water rest foul toxic worthless garbage life https co Q AB buq 
19,19,We banning support Donald Trump administration Ravelry We provide space inclusive also allow support open white supremacy More details https co hEyu LjqXa 
20,20,George Lopez demanding ICE deport President Trump anchor baby children This guy took kidney donation wife divorced He make jokes He one 
21,21,This really scary think bias coming social media masters watch If act get worse Insider Blows Whistle amp Exec Reveals Google Plan Prevent Trump situation Hidden Cam https co ZXGzg jVl 
22,22,potus confused Ayatollahs trump applying sanctions dead man https co H gfwApjV 
23,23,You get room Trump Hotel DC night https co bc BqmE 
24,24,Vox list women accused president various types sexual misconduct harassment The White House position women liars https co GML KxJxM 
25,25,George Lopez demanding ICE deport President Trump anchor baby children This guy took kidney donation wife divorced He make jokes He one 
26,26,RichardDawkins honestly suggesting everyone supports trump rapist jesus christ stay politics 
27,27,Fascinating student human behavior watch progression Trump rape allegation Despite glaringly obvious furiously blinking red lights emanating every interview treading well worn path guides stories nature days 
28,28,Mexicans rapists says Trump accused women sexual assault 
29,29,If think putting Nikki Haley ticket Donald Trump solve problems women voters understand problems women voters Donald Trump 
30,30,Trump n ne rd Y zy l n Anla mas tart lmaya devam ediyor ABD D leri Bakan Pompeo nsanlar n neden bu plan n sadece srail ho una gidecek bir plan oldu unu nece ini anl yorum Hasanhhiz anlatt Bahreyn de Filistin par alayacaklar https co hBlu J Oc 
31,31,NOS Dat jullie de NOS nog geloven Wat een belachelijke reacties Laten ze de problemen Nederland vertellen p v trump zwart te maken Die man komt tenminste zn beloftes na 
32,32,Scoop Trump mused withdrawing longstanding defense treaty Japan thinks unfair US per sources direct knowledge The treaty signed years ago forms foundation alliance countries emerged WW 
33,33,mattyglesias neeratanden Trump Cosby Sick dangerous men When I write HuxtableWhiteHouse I jest 
34,34,You might expect Latinos Trump kickoff event punctuated visit Vice President Mike Pence National Hurricane Center trip memory lane Trump administration fatally botched hurricane response Puerto Rico But https co B tmE 
35,35,Leaked draft Trump Kushner Deal century asks Palestinians give entire west bank live Israel labeled peaceful wiped face earth https co Q kTX OC 
36,36,RealMuckmaker Trump consulted Eric Trump leader Iran What Donald dumb Eric even dumber 
37,37,RachelWard IngrahamAngle ChristopherHahn dbongino Yeah say Trump would involved next candidate years He basically said Trump going win year Lol 
38,38,Mexicans rapists says Trump accused women sexual assault 
39,39,Our electoral systems attacked Russia The records voters home state stolen Russia Yet Trump Administration opposes election security regulations blocked bill encourage use paper ballots This alarm us https co U mAivBjiD 
40,40,Melonhe CNN He mocks men way women even worse How prejudice discrimination women You see deliberately nitpick want support narrative Trump egocentric insecure rude clown proof misogynist 
41,41,Ir n Las sanciones de EE UU significan el cierre permanente del camino de la diplomacia https co LJqVPkHssS Este lunes Donald Trump aprob nuevas sanciones co https co hHu WpU 
42,42,BetoORourke thedavidcrosby Votes increase Trump military budget Bernie Sanders Tulsi Gabbard Kirsten Gillibrand Kamala Harris Amy Klobuchar Elizabeth Warren Cory Booker Beto O Rourke Tim Ryan 
43,43,This messed I agree Trump base lot things whoever feel ashamed pass invite come along Really appalled right https co mdgbgOTWjJ 
44,44,Trump first line defense rape accusation She type That first thought I would never rape anyone 
45,45,This seems like big deal https co sfVzlAlxBI 
46,46,Trump says rape someone type https co l vZS 
47,47,Let check Mike Pence claims Cleaner air water FALSE More polluted air days Trump first two years office four years Lower emissions FALSE U S carbon emissions went Wrong Mr Vice President And wrong https co GEJcQ AYw 
